Age,PercentMarried,NumSingle,NumSingle_LastYear,NumMarried_ThisYear,ProbabilityOfMarriage_ThisYear
18.0,4.684745419502809,95.3152545804972,100.0,4.6847454195028035,0.04684745419502803
19.0,10.255030269662132,89.74496973033787,95.3152545804972,5.570284850159325,0.05844064388932642
20.0,15.737340803474979,84.26265919652502,89.74496973033787,5.48231053381285,0.061087663746345666
21.0,21.13533937029572,78.86466062970428,84.26265919652502,5.397998566820746,0.06406157387260998
22.0,26.441741514492854,73.55825848550714,78.86466062970428,5.306402144197136,0.06728491699358796
23.0,31.63904975873202,68.36095024126797,73.55825848550714,5.197308244239167,0.0706556728129061
24.0,36.701321143967604,63.298678856032396,68.36095024126797,5.062271385235576,0.07405209212816934
25.0,41.59686893959098,58.40313106040902,63.298678856032396,4.895547795623379,0.07734044191914174
26.0,46.29159355741085,53.70840644258915,58.40313106040902,4.694724617819865,0.08038481041305642
27.0,50.7524864108418,49.2475135891582,53.70840644258915,4.460892853430948,0.08305762819828508
28.0,54.95080594643968,45.04919405356032,49.2475135891582,4.198319535597882,0.08524937056968777
29.0,58.86450352013003,41.13549647986997,45.04919405356032,3.9136975736903494,0.0868760841545187
30.0,62.47964983081597,37.52035016918403,41.13549647986997,3.615146310685944,0.08788386235851191
31.0,65.79082132554346,34.20917867445654,37.52035016918403,3.311171494727489,0.08825001578602001
32.0,68.80058796553064,31.19941203446936,34.20917867445654,3.009766639987177,0.087981259901879
33.0,71.51835747058331,28.48164252941669,31.19941203446936,2.7177695050526722,0.08710963854222825
34.0,73.9588659801434,26.0411340198566,28.48164252941669,2.4405085095600896,0.08568707043631558
35.0,76.14057592180893,23.85942407819107,26.0411340198566,2.181709941665531,0.08377937535293038
36.0,78.08417598667825,21.915824013321753,23.85942407819107,1.9436000648693152,0.08146047693774307
37.0,79.81130215436974,20.18869784563026,21.915824013321753,1.7271261676914946,0.07880726577479559
38.0,81.34353136897955,18.656468631020445,20.18869784563026,1.5322292146098135,0.07589539584602069
39.0,82.70164976616273,17.29835023383727,18.656468631020445,1.3581183971831763,0.07279611292166023
40.0,83.9051666768705,16.094833323129507,17.29835023383727,1.2035169107077621,0.06957408622433629
41.0,84.97203094710834,15.027969052891663,16.094833323129507,1.0668642702378435,0.06628613349506875
42.0,85.91850275601095,14.081497243989048,15.027969052891663,0.946471808902615,0.0629806865832277
43.0,86.75913758989769,13.24086241010231,14.081497243989048,0.8406348338867389,0.05969783037422243
44.0,87.50684582399487,12.493154176005135,13.24086241010231,0.7477082340971748,0.05646975332412637
45.0,88.1729991146991,11.827000885300905,12.493154176005135,0.66615329070423,0.053321465605833264
46.0,88.76756214136392,11.232437858636075,11.827000885300905,0.5945630266648294,0.050271665017272246
47.0,89.29923450225834,10.700765497741656,11.232437858636075,0.5316723608944187,0.04733365700177381
48.0,89.77559256521201,10.224407434787992,10.700765497741656,0.4763580629536648,0.04451626036045719
49.0,90.20322485428886,9.796775145711138,10.224407434787992,0.427632289076854,0.04182465260743213
50.0,90.58785729200116,9.41214270799884,9.796775145711138,0.38463243771229827,0.039261127461997926
51.0,90.93446651964616,9.065533480353835,9.41214270799884,0.3466092276450041,0.03682575141475924
52.0,91.24738078503506,8.752619214964938,9.065533480353835,0.31291426538889766,0.03451691685514401
53.0,91.5303686874585,8.469631312541495,8.752619214964938,0.28298790242344296,0.03233179639982505
54.0,91.78671654053441,8.213283459465586,8.469631312541495,0.25634785307590846,0.03026670744171812
55.0,92.0192953587177,7.980704641282301,8.213283459465586,0.23257881818328485,0.02831739819173586
56.0,92.23061856938102,7.769381430618978,7.980704641282301,0.21132321066332338,0.026479267202822957
57.0,92.42289155426192,7.577108445738077,7.769381430618978,0.19227298488090128,0.02474752804942196
58.0,92.59805406976938,7.4019459302306245,7.577108445738077,0.1751625155074521,0.023117329884063675
59.0,92.75781651088491,7.242183489115092,7.4019459302306245,0.15976244111553228,0.021583843305723056
60.0,92.90369088505804,7.09630911494196,7.242183489115092,0.14587437417313254,0.020142319563206293
61.0,93.03701726126516,6.962982738734837,7.09630911494196,0.13332637620712262,0.018788129723153003
62.0,93.15898636169034,6.841013638309661,6.962982738734837,0.12196910042517572,0.017516789140760863
63.0,93.27065887287542,6.729341127124584,6.841013638309661,0.11167251118507693,0.01632397143015636
64.0,93.37298197137532,6.627018028624676,6.729341127124584,0.10232309849990884,0.015205515156226151
65.0,93.4668034864816,6.533196513518405,6.627018028624676,0.09382151510627068,0.014157425662797199
66.0,93.55288405925387,6.44711594074613,6.533196513518405,0.08608057277227488,0.013175873799932097
67.0,93.63190760234559,6.368092397654408,6.44711594074613,0.0790235430917221,0.01225719280031695
68.0,93.7044903181322,6.295509681867799,6.368092397654408,0.07258271578660924,0.011397874159825948
69.0,93.7711884925894,6.228811507410597,6.295509681867799,0.06669817445720128,0.010594563081890577
70.0,93.83250524836153,6.167494751638472,6.228811507410597,0.061316755772125475,0.009844053829398298
71.0,93.88889641169548,6.111103588304516,6.167494751638472,0.056391163333955774,0.009143285175714945
72.0,93.94077562364785,6.059224376352148,6.111103588304516,0.05187921195236811,0.008489336042618392
73.0,93.98851880554254,6.01148119445746,6.059224376352148,0.04774318189468829,0.00787942134657031
74.0,94.03246807147951,5.967531928520486,6.01148119445746,0.04394926593697335,0.007310888034964534
75.0,94.07293516626748,5.927064833732516,5.967531928520486,0.040467094787970836,0.006781211273385467
76.0,94.110204495043,5.889795504956993,5.927064833732516,0.03726932877552258,0.006287990737576015
77.0,94.14453580067357,5.855464199326434,5.889795504956993,0.03433130563055897,0.005828946964570319
78.0,94.17616653651206,5.823833463487944,5.855464199326434,0.03163073583849041,0.005401917723641613
79.0,94.20531397490612,5.794686025093881,5.823833463487944,0.02914743839406242,0.005004854375867707
80.0,94.23217708584916,5.767822914150841,5.794686025093881,0.02686311094304017,0.004635818200798024
81.0,94.25693821510056,5.743061784899439,5.767822914150841,0.02476112925140228,0.004292976677673832
82.0,94.27976458684412,5.720235413155876,5.743061784899439,0.02282637174356239,0.003974599716754063
83.0,94.30080965236682,5.699190347633177,5.720235413155876,0.021045065522699247,0.003679055843453233
84.0,94.32021430321198,5.6797856967880165,5.699190347633177,0.01940465084516063,0.0034048083432095247
85.0,94.3381079647032,5.661892035296802,5.6797856967880165,0.01789366149121463,0.003150411379312022
86.0,94.35460958356923,5.6453904164307716,5.661892035296802,0.0165016188660303,0.0029145060985192855
87.0,94.36982852156382,5.630171478436182,5.6453904164307716,0.01521893799458951,0.002695816741087589
88.0,94.3838653654125,5.616134634587496,5.630171478436182,0.014036843848685976,0.0024931467722515625
89.0,94.3968126620899,5.6031873379101,5.616134634587496,0.012947296677396025,0.002305375052381913
90.0,94.40875558729513,5.591244412704867,5.6031873379101,0.011942925205232768,0.002131452062012849
91.0,94.41977255402188,5.5802274459781245,5.591244412704867,0.011016966726742794,0.0019703961969019224
