Year,State,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1920,Alabama,2845,2845,3523,3523,3523,3523,3523,3338,3338,3338,3338,3338,2528,2528,2528,2528,2528,1706,1706,1706,1706,1706,776,776,776,776,776
1920,Alaska,67,67,83,83,83,83,83,78,78,78,78,78,59,59,59,59,59,40,40,40,40,40,18,18,18,18,18
1920,Arizona,405,405,501,501,501,501,501,475,475,475,475,475,360,360,360,360,360,243,243,243,243,243,110,110,110,110,110
1920,Arkansas,2123,2123,2629,2629,2629,2629,2629,2491,2491,2491,2491,2491,1886,1886,1886,1886,1886,1273,1273,1273,1273,1273,579,579,579,579,579
1920,California,4151,4151,5142,5142,5142,5142,5142,4872,4872,4872,4872,4872,3689,3689,3689,3689,3689,2489,2489,2489,2489,2489,1132,1132,1132,1132,1132
1920,Colorado,1138,1138,1410,1410,1410,1410,1410,1336,1336,1336,1336,1336,1012,1012,1012,1012,1012,683,683,683,683,683,310,310,310,310,310
1920,Connecticut,1672,1672,2072,2072,2072,2072,2072,1963,1963,1963,1963,1963,1486,1486,1486,1486,1486,1003,1003,1003,1003,1003,456,456,456,456,456
1920,Delaware,270,270,335,335,335,335,335,317,317,317,317,317,240,240,240,240,240,162,162,162,162,162,74,74,74,74,74
1920,District of Columbia,530,530,657,657,657,657,657,622,622,622,622,622,471,471,471,471,471,318,318,318,318,318,145,145,145,145,145
1920,Florida,1173,1173,1453,1453,1453,1453,1453,1377,1377,1377,1377,1377,1043,1043,1043,1043,1043,704,704,704,704,704,320,320,320,320,320
1920,Georgia,3508,3508,4345,4345,4345,4345,4345,4117,4117,4117,4117,4117,3118,3118,3118,3118,3118,2104,2104,2104,2104,2104,956,956,956,956,956
1920,Hawaii,310,310,384,384,384,384,384,364,364,364,364,364,276,276,276,276,276,186,186,186,186,186,85,85,85,85,85
1920,Idaho,523,523,648,648,648,648,648,614,614,614,614,614,465,465,465,465,465,314,314,314,314,314,143,143,143,143,143
1920,Illinois,7856,7856,9731,9731,9731,9731,9731,9220,9220,9220,9220,9220,6982,6982,6982,6982,6982,4711,4711,4711,4711,4711,2142,2142,2142,2142,2142
1920,Indiana,3550,3550,4397,4397,4397,4397,4397,4166,4166,4166,4166,4166,3155,3155,3155,3155,3155,2129,2129,2129,2129,2129,968,968,968,968,968
1920,Iowa,2912,2912,3607,3607,3607,3607,3607,3418,3418,3418,3418,3418,2588,2588,2588,2588,2588,1746,1746,1746,1746,1746,794,794,794,794,794
1920,Kansas,2143,2143,2655,2655,2655,2655,2655,2515,2515,2515,2515,2515,1905,1905,1905,1905,1905,1285,1285,1285,1285,1285,584,584,584,584,584
1920,Kentucky,2928,2928,3626,3626,3626,3626,3626,3436,3436,3436,3436,3436,2602,2602,2602,2602,2602,1755,1755,1755,1755,1755,798,798,798,798,798
1920,Louisiana,2179,2179,2699,2699,2699,2699,2699,2557,2557,2557,2557,2557,1936,1936,1936,1936,1936,1306,1306,1306,1306,1306,594,594,594,594,594
1920,Maine,930,930,1152,1152,1152,1152,1152,1092,1092,1092,1092,1092,827,827,827,827,827,558,558,558,558,558,254,254,254,254,254
